doc_id,original_text,processed_text
415,What are the best quotes/lessons of the Assassin's Creed series?,best quotes/lesson assassin 's creed seri
416,Which assassin has the best robes in Assassin's Creed?,assassin best robe assassin 's creed
417,"Do inkjet printers use color ink when printing black and white documents? If so, why?",inkjet printer use color ink print black white document
418,"If CMYK printers create black by using colored ink and only complementing with black ink, why do shops charge more for color prints?",cmyk printer creat black use color ink complement black ink shop charg color print
419,Why is creativity important?,creativ import
421,If Hillary Clinton could not continue her Presidential campaign how would the Democratic Party choose a new candidate?,hillari clinton could continu presidenti campaign would democrat parti choos new candid
422,If Hillary Clinton can no longer serve as the Democratic nominee how would her successor be chosen?,hillari clinton longer serv democrat nomine would successor chosen
423,How headphones work as an Antenna to play FM radio channels on Mobile phones? Why mobile companies doesn't install the same inbuilt Antenna on phones to be able to play FM without the headphones?,headphon work antenna play fm radio channel mobil phone mobil compani n't instal inbuilt antenna phone abl play fm without headphon
424,Why don't phones have a built-in FM antenna?,n't phone built-in fm antenna
425,What are the best career growth technologies for automation engineers apart from automation tools?,best career growth technolog autom engin apart autom tool
426,Himalayan or Duke KTM 200 for touring?,himalayan duke ktm tour
427,What are the disadvantages of listing a company in NSE?,disadvantag list compani nse
428,What are the benefits of listing a company in NSE?,benefit list compani nse
429,How many derivatives of an object's position with respect to time have to be continuous?,mani deriv object 's posit respect time continu
430,When does drawing become fun?,draw becom fun
431,Is the neutron star made up of?,neutron star made
432,Is the neutron star made up of only neutrons?,neutron star made neutron
433,I got a 3.8 GPA. Is it enough to get into top universities like Harvard?,got gpa enough get top univers like harvard
434,Is a 3.8 GPA sufficient to get into a top school?,gpa suffici get top school
435,What is a profitable way to trade binary options?,profit way trade binari option
436,What is binary options trading?,binari option trade
437,How do I utilize free time to avoid depression?,util free time avoid depress
438,Can a person graduating from IIMs like LIK and even the new IIMs like Ranchi and Trichy ever catch up to the graduates from ABC and get a similar package?,person graduat iim like lik even new iim like ranchi trichi ever catch graduat abc get similar packag
439,How can I learn computer security?,learn comput secur
440,How can I get started to learn information security?,get start learn inform secur
441,How do I earn from Quora?,earn quora
442,Can I earn money on Quora?,earn money quora
443,What is my puk code?,puk code
444,What's the PUK for TF64SIMC4?,'s puk tfsimc
445,How can I find job in Japan?,find job japan
446,How can I find an IT job in Japan?,find job japan
447,"What are some examples of sentences using the word ""hysteria""?",exampl sentenc use word `` hysteria ''
448,What is the best home wireless network setup and expected speeds?,best home wireless network setup expect speed
449,Will there be another billion dollar lottery Jackpot?,anoth billion dollar lotteri jackpot
450,When will the lottery reach the next billion dollar jackpot?,lotteri reach next billion dollar jackpot
451,How scary is it to drive on the road to Hana given all of the turns?,scari drive road hana given turn
452,Do I need a four-wheel-drive car to drive all the way on the Road to Hana?,need four-wheel-dr car drive way road hana
453,How do I create a new shell in a new terminal using C programming (Linux terminal)?,creat new shell new termin use c program linux termin
454,How do I create a new Terminal and new shell in Linux using C programming?,creat new termin new shell linux use c program
455,Does cognition affect perception?,cognit affect percept
456,Does cognitive strain affect digestion?,cognit strain affect digest
457,How TQWL is different from CKWL (Tatkal waiting list)?,tqwl differ ckwl tatkal wait list
458,I have made a railway reservation but got it on the Tatkal waiting list. Will I get a refund if I cancel it?,made railway reserv got tatkal wait list get refund cancel
459,How can we make the world a better place to live in for the future generations?,make world better place live futur gener
460,What can I do to make the world a better place?,make world better place
461,How many Champions are there in League of Legends?,mani champion leagu legend
462,Who is the best LoL (League of Legends) champion?,best lol leagu legend champion
463,Is drinking 4 liters of water each day unhealthy?,drink liter water day unhealthi
464,How many liters of water should I drink if I run 5kms daily?,mani liter water drink run km daili
465,"Where does the water from the Great Lakes come from, and how does these lakes wildlife compare to Lake Prespa?",water great lake come lake wildlif compar lake prespa
466,"Where does the water from the Great Lakes come from, and how does these lakes wildlife compare to Lake Como?",water great lake come lake wildlif compar lake como
467,Do porn stars watch porn?,porn star watch porn
468,How can I book Ronda Rousey to star in an adult movie?,book ronda rousey star adult movi
469,"Trump supporters, how do you feel about the way he's walking back his promises?",trump support feel way 's walk back promis
470,Do Trump supporters now expect the president to live up to his promises he so forcefully sold them on?,trump support expect presid live promis forc sold
471,Why are we worried about others' opinions?,worri other opinion
472,Why do we care for others' opinion and about what others think about us?,care other opinion other think u
473,How do you potty train a 4 months Pitbull?,potti train month pitbul
474,How do I potty train my two-month-old Labrador pup?,potti train two-month-old labrador pup
475,"If I jump rope for five minutes, how many calories will I use?",jump rope five minut mani calori use
476,What's the best way to jump rope?,'s best way jump rope
477,Which online test series is best for GATE 2017 in CS stream?,onlin test seri best gate c stream
478,Which test series is the best for GATE computer science stream?,test seri best gate comput scienc stream
479,What is the best material for understanding algorithmic analysis by a newbie?,best materi understand algorithm analysi newbi
480,What math does a complete newbie need to understand algorithms for computer programming? What books on algorithms are suitable for a complete beginner?,math complet newbi need understand algorithm comput program book algorithm suitabl complet beginn
481,What is the temperament of a Bullmastiff/Husky mix?,tempera bullmastiff/huski mix
482,What is the temperament of a Corgi-Husky mix?,tempera corgi-huski mix
483,"There are 8 balls. 7 of them weigh the same. 1 of them has a different weight, (you don't know if it's heavier or lighter). How do you find the odd ball with 2 weighs?",ball weigh differ weight n't know 's heavier lighter find odd ball weigh
484,"How many 4 digit numbers can be formed by using 0, 1, 2, 3, 4, 5, 6, and 7? How many of them are between 4000 and 6000?",mani digit number form use mani
485,"In the play ""A Raisin in the Sun"", why do Walter ad Beneatha argue?",play `` raisin sun '' walter ad beneatha argu
486,"In ""A Raisin in the Sun"", why do Walter and Beneatha argue?",`` raisin sun '' walter beneatha argu
487,What are the signs of an ultra smart person playing dumb?,sign ultra smart person play dumb
488,What are signs of ultra smart people hiding their intelligence?,sign ultra smart peopl hide intellig
489,If dark energy is created with expansion can infinite of it be created?,dark energi creat expans infinit creat
490,"If energy is not conserved in an expanding universe, is potential energy infinite (the energy that can be created is infinite)?",energi conserv expand univers potenti energi infinit energi creat infinit
491,How do you get a book published?,get book publish
492,What are the good ways to write and publish a book?,good way write publish book
494,Who will disrupt Bloomberg?,disrupt bloomberg
495,Why can flash run so fast?,flash run fast
496,The Flash (DC character): How fast can the Flash run a mile?,flash dc charact fast flash run mile
497,"What is the best way to invest $500 legally so that I can get tangible profits over a relatively short period of time, say 6 months?",best way invest legal get tangibl profit rel short period time say month
498,How can I best invest ₹5000 over the next 6 months?,best invest ₹ next month
499,How will the implementation of GST bill impact the lives of common people?,implement gst bill impact live common peopl
500,What exactly is GST bill and how exactly will it affect the common people?,exactli gst bill exactli affect common peopl
501,How can you recover your Gmail password?,recov gmail password
502,"I do not remember my password to my Gmail account, how can I recover my account?",rememb password gmail account recov account
503,How accurately can a mental illness can be diagnosed?,accur mental ill diagnos
504,How can I accurately diagnose and medicate my mental illness?,accur diagnos medic mental ill
505,Is knee pain in a 20 year old girl normal?,knee pain year old girl normal
506,Is it normal for a 14 year old girl to be spitting up blood?,normal year old girl spit blood
507,What are the qualities of a good leader?,qualiti good leader
508,What are some good qualities of a leader?,good qualiti leader
509,"What is the difference between bay, gulf and straits?",differ bay gulf strait
510,What exactly is the difference between a sea and a bay?,exactli differ sea bay
511,Will Modi win in 2019?,modi win
512,Can Narendra Modi become Prime Minister of India in 2019?,narendra modi becom prime minist india
513,How can I open DMart store in India? Is there any franchise for that?,open dmart store india franchis
514,How do I get reliance digital store franchise?,get relianc digit store franchis
515,What are the best YouTube channels to learn medicine?,best youtub channel learn medicin
516,What are some of the best YouTube channels for learning Git?,best youtub channel learn git
517,Did Swami Vivekananda ever eat non-veg or egg during his journey around the world?,swami vivekananda ever eat non-veg egg journey around world
518,Why don't most of the Hindus eat non-veg?,n't hindu eat non-veg
519,What will happen if I cancel TQWL tickets before the charting is done?,happen cancel tqwl ticket chart done
520,Can we cancel a 'Tatkal waiting list' ticket?,cancel 'tatkal wait list ticket
521,"What exactly is the ""Common Core Initiative/Standards"" and what are the pros and cons?",exactli `` common core initiative/standard '' pro con
522,What are the pros and cons of the Common Core Standards Initiative?,pro con common core standard initi
523,How do I choose a journal to publish my paper?,choos journal publish paper
524,Where do I publish my paper?,publish paper
525,What are your New Year's resolutions for 2017?,new year 's resolut
526,What is your creative New Year's resolution for 2017?,creativ new year 's resolut
527,What do you do if you had a bad dream?,bad dream
528,How do you not get bad dreams?,get bad dream
529,Do squats work for men?,squat work men
530,How many marks should I score for AIIMS rank 151?,mani mark score aiim rank
531,What minimum marks should I score to get among top 50 in AIIMS?,minimum mark score get among top aiim
532,"In an operating room, when two surgeons of equal experience disagree on a surgical procedure, how is the tie broken?",oper room two surgeon equal experi disagre surgic procedur tie broken
533,Doctors: How do surgeons hold out on surgeries more than 6 hours long? Do they rest during the operation?,doctor surgeon hold surgeri hour long rest oper
534,How many months does it take to gain knowledge in developing Android apps from scratch?,mani month take gain knowledg develop android app scratch
535,How much time does it take to learn Android app development from scratch?,much time take learn android app develop scratch
536,How do I love my body as a guy?,love bodi guy
537,"How can I make my whole body more fair, if I am a wheatish Indian guy?",make whole bodi fair wheatish indian guy
538,What are the rights of a prisoner?,right prison
539,"If I am in prison, what rights would I have?",prison right would
541,How can I get free gems Clash of Clans?,get free gem clash clan
542,Why aren't there more apps like Word Lens?,n't app like word len
543,What does Word Lens use for OCR?,word len use ocr
544,My ex-girlfriend is suffering from malaria. I have a deep urge of visiting her but I have my placements on. I have no idea how to be with her. What should I do?,ex-girlfriend suffer malaria deep urg visit placement idea
545,"Should I be worried that my girlfriend texts her ex-boyfriend till 4 a.m., and if so, why?",worri girlfriend text ex-boyfriend till a.m.
546,What is the best way to get traffic on your website?,best way get traffic websit
547,How do i get traffic for website?,get traffic websit
549,How does it feel to see upvotes to your answer on Quora?,feel see upvot answer quora
550,What are some of the best films and TV shows that feature strong female protagonists?,best film tv show featur strong femal protagonist
551,What are the best female strong characters in films?,best femal strong charact film
552,How far would you go for love? Should I wait for the one I love ir move on?,far would go love wait one love ir move
553,"As a thirteen year old, what is the best thing I can do for my health?",thirteen year old best thing health
554,How do most people die?,peopl die
555,How do people die?,peopl die
556,Why are most clothes made of polyester now instead of cotton?,cloth made polyest instead cotton
557,How are cotton clothes made?,cotton cloth made
558,What is in bone marrow?,bone marrow
559,What does bone marrow taste like?,bone marrow tast like
560,Were there any slave with the name Reddice?,slave name reddic
561,"In Ancient Rome, slaves were branded. What happened with the brand mark if they were subsequently liberated?",ancient rome slave brand happen brand mark subsequ liber
562,How long does it take for a dead body to float to the surface after drowning ?,long take dead bodi float surfac drown
563,"When a dead body is in a river, how long does it take before it floats?",dead bodi river long take float
564,How do I get over a friend with whom I haven't talked in 3 years but still miss him?,get friend n't talk year still miss
565,How do I get over someone I loved now that we broke up last year and I still miss her?,get someon love broke last year still miss
566,When travelling to a new region is it better to immerse yourself in 1–2 cities or to see as many cities as you can cram in?,travel new region better immers – citi see mani citi cram
567,What are the ways to explore world without spending more money?,way explor world without spend money
568,How can I make money online with free of cost?,make money onlin free cost
569,How do I to make money online?,make money onlin
570,Where can I buy best quality customized cupcakes in Gold Coast?,buy best qualiti custom cupcak gold coast
571,Where can I find delicious cupcakes at Gold Coast?,find delici cupcak gold coast
572,How successful was odd even plan?,success odd even plan
573,How successful was the Delhi's Odd-even plan?,success delhi 's odd-even plan
574,If there will be a war between India and Pakistan who will win?,war india pakistan win
575,Who will win if a war starts between India and Pakistan?,win war start india pakistan
576,How do you deal with a fear of dying?,deal fear die
577,How can you reduce your fear of dying?,reduc fear die
578,What would be the estimated cost of repairing the cracked screen of iphone 6?,would estim cost repair crack screen iphon
579,What is the price I have to pay for repairing a broken iPhone 6 screen? How can it be done?,price pay repair broken iphon screen done
580,What are the most interesting products and innovations that McDonald's is coming out with in 2016?,interest product innov mcdonald 's come
581,What are the most interesting products and innovations that Ball is coming out with in 2016?,interest product innov ball come
582,"Is there an end to the universe, and if not, is the universe infinite?",end univers univers infinit
583,Is the Universe infinite or is there an end to the Universe?,univers infinit end univers
584,What is CPAGrip.com?,cpagrip.com
585,What is bestmytest.com?,bestmytest.com
586,How much funds should I raise?,much fund rais
587,How much money should I raise?,much money rais
588,What Anna Hazare think about PM Modi?,anna hazar think pm modi
590,What will be the effect of banning 500 and 1000 notes on stock markets in India?,effect ban note stock market india
591,What will be the effect of the ban of the 1000rs and 500rs notes on the stock market?,effect ban r r note stock market
592,How does concentric contractions differ from eccentric contractions?,concentr contract differ eccentr contract
593,How do concentric and eccentric contraction compare and contrast?,concentr eccentr contract compar contrast
594,Why did the puppet they used for Yoda in Episode I suck so bad?,puppet use yoda episod suck bad
595,"Why do people not question ""news"" posts and opinions posted on social media websites?",peopl question `` news '' post opinion post social medium websit
596,On what online platforms can I post ads for beer money opportunity?,onlin platform post ad beer money opportun
597,What online platforms can I post ads for beer money opportunity?,onlin platform post ad beer money opportun
598,What the meaning of this all life?,mean life
599,What's are the meaning of life?,'s mean life
600,How should I start small business effectively?,start small busi effect
601,How should I start a small business in construction?,start small busi construct
602,How can we acquire a positive morality?,acquir posit moral
603,What are time deposits? Are RD and FD types of time deposits?,time deposit rd fd type time deposit
604,Do you need friends?,need friend
605,Why do we need friends?,need friend
606,Do I exist?,exist
608,Which are the best Hollywood thriller movies?,best hollywood thriller movi
610,"Should I repeat 2nd year in college, or find a new college? It's a 5 year course.",repeat nd year colleg find new colleg 's year cours
611,I study in Ashutosh College in Kolkata. Can I study in any other college in India in my 2nd year?,studi ashutosh colleg kolkata studi colleg india nd year
612,How is petrol or diesel pumped up in a filling station using a motor without igniting any fire?,petrol diesel pump fill station use motor without ignit fire
613,What happens when you fill a petrol car with diesel? What is the solution if such an incident happened?,happen fill petrol car diesel solut incid happen
614,What job possibilities exist for a Bachelors in Homeland Security?,job possibl exist bachelor homeland secur
617,What are good books to self study calculus?,good book self studi calculu
618,Why and how did you break up with her/him?,break her/him
619,How and why did you break up with your ex?,break ex
620,Can I use Jio SIM in iPhone 5s?,use jio sim iphon
621,Does iPhone 5S support JIO VoLTE?,iphon support jio volt
622,What are some unwritten rules in USA?,unwritten rule usa
623,What are some unwritten rules you have for your home?,unwritten rule home
624,What is the best answer to what you did in two years gap in a job interview?,best answer two year gap job interview
625,What is the best excuse to explain a gap (of one or two years) in your job career for a job interview?,best excus explain gap one two year job career job interview
626,What are the best songs for low voices?,best song low voic
627,What are some songs for a sweet airy mezzo voice?,song sweet airi mezzo voic
628,Can anyone predict my birth chart?,anyon predict birth chart
629,What can you tell me regarding this birth chart?,tell regard birth chart
630,When was the birth of the trigonometric functions?,birth trigonometr function
631,Who were the creators of trigonometry?,creator trigonometri
632,"What does this saying mean; ""Don't trust everything you see even salt looks like sugar""?",say mean `` n't trust everyth see even salt look like sugar ''
633,"People say ""don't try to please others."" Does being nice to others mean pleasing them?",peopl say `` n't tri plea other '' nice other mean plea
634,What do countries do to prevent war?,countri prevent war
635,How should countries prevent war?,countri prevent war
636,How can I become a billionaire?,becom billionair
637,How can I become a billionaire (in finance)?,becom billionair financ
638,Why should I learn web design?,learn web design
640,"What's the best on-line calender/scheduling/booking system? Something that allows me to show my availability & customers can 'request' to meet me. When I 'accept' their request, the appointment pops into our calendars & reminders are automated.",'s best on-lin calender/scheduling/book system someth allow show avail custom 'request meet 'accept request appoint pop calendar remind autom
641,Is there a web service that can send appointment sms-reminders to customers extracting data from Google calendar?,web servic send appoint sms-remind custom extract data googl calendar
642,How will Indian GDP be affected from banning 500 and 1000 rupees notes?,indian gdp affect ban rupe note
643,What will be the implications of banning 500 and 1000 rupees currency notes on Indian economy?,implic ban rupe currenc note indian economi
644,Why does understanding death philosophical?,understand death philosoph
645,What makes understanding death philosophical?,make understand death philosoph
646,Why are dogs considered omnivores?,dog consid omnivor
647,Are dogs carnivorous animals?,dog carnivor anim
648,What it is like to be cheated upon in a relationship?,like cheat upon relationship
649,What is it like to be in a relationship with someone you cheated with?,like relationship someon cheat
650,How do I know if someone blocked my texts?,know someon block text
651,If I turn of my user id off can I text someone that blocked me?,turn user id text someon block
652,What are the most interesting foods you have eaten in any country?,interest food eaten countri
653,What is it like to be a private banker?,like privat banker
654,What is like to be a private banker in Switzerland?,like privat banker switzerland
655,What is journalism for you?,journal
656,What is journalism?,journal
657,How can one increase concentration?,one increas concentr
658,How can I improve my concentration?,improv concentr
659,"How do I see ""sent invitations"" on Linkedin if I don't have any more pending invitations?",see `` sent invit '' linkedin n't pend invit
660,"How can you personalize a LinkedIn invitation? I think I just sent a colleague an invitation on LinkedIn, but did not get a chance to personalize it!",person linkedin invit think sent colleagu invit linkedin get chanc person
661,What are the pros and cons of the German Shepherd dog?,pro con german shepherd dog
662,What are the pros and cons of having a pet German Shepherd?,pro con pet german shepherd
663,What is the difference between deism and agnosticism?,differ deism agnostic
664,What is the difference between a hobby and a habit?,differ hobbi habit
665,Why do male porn stars masturbate to ejaculate?,male porn star masturb ejacul
666,Is it OK for a husband and wife to masturbate together? Is it considered cheating if your partner is masturbating without your consent?,ok husband wife masturb togeth consid cheat partner masturb without consent
667,How much CGPA I require to get an admission for MTech CSE at IIT Madras?,much cgpa requir get admiss mtech cse iit madra
668,Can I get a job in a consulting firm after Mtech in CSE from IIT?,get job consult firm mtech cse iit
669,Is there a biological reason that people cry when they are emotional?,biolog reason peopl cri emot
670,What is the biological reason for crying?,biolog reason cri
671,What are 5 facts about the earth's crust?,fact earth 's crust
672,How does the Earth's core affect its crust?,earth 's core affect crust
673,Why does ISRO not use friction stir welding technology?,isro use friction stir weld technolog
674,Should a guy re-evaluate his current relationship and feelings if he's worried about temptation hanging out with a girl that he was friends with?,guy re-evalu current relationship feel 's worri temptat hang girl friend
675,I wish to simulate a fake location for an app running on my iOS device. How do you fake a GPS location for iOS without jailbreaking as a non-coder?,wish simul fake locat app run io devic fake gp locat io without jailbreak non-cod
676,How can I fake my iPhone location without jailbreaking?,fake iphon locat without jailbreak
677,What would be the best way to quit smoking?,would best way quit smoke
678,How did you quit/stop smoking?,quit/stop smoke
679,Which is the best programing language for tcs?,best program languag tc
680,Which is the best programming language?,best program languag
681,Earthquake resistant homes?,earthquak resist home
683,Is Kristen Stewart a bad actress?  Why or why not?,kristen stewart bad actress
684,Is Jennifer Lawrence a bad actress?,jennif lawrenc bad actress
685,Why do some Japanese guys try to look feminine? Don't the girls find it gross?,japanes guy tri look feminin n't girl find gross
686,Why have most of the guys in India become so desperate? Don't they know that girls don't always look for relationships? Would it hurt guys to become our friend first?,guy india becom desper n't know girl n't alway look relationship would hurt guy becom friend first
687,What are the five most popular sugar daddy websites?,five popular sugar daddi websit
688,What is it like to date a cougar or a sugar daddy?,like date cougar sugar daddi
689,What is the VTU 1st sem exam time table of 2016 (Dec)?,vtu st sem exam time tabl dec
690,How do I frame my time table for 4 months to crack Gate 2016?,frame time tabl month crack gate
691,What is the best phone to buy below 15k?,best phone buy k
692,Which are best mobile phones to buy under 15000?,best mobil phone buy
693,How do we start a business?,start busi
694,How do I start business from nothing?,start busi noth
695,What's the best near-death experience you've ever had?,'s best near-death experi 've ever
696,Has anyone ever had a near-death experience?,anyon ever near-death experi
697,Why do I keep getting fleas from my dogs?,keep get flea dog
698,How can I keep my dog from getting fleas?,keep dog get flea
699,What year did the letter J come?,year letter j come
700,When was the Letter J created?,letter j creat
701,Harvard College Courses: What is general shopping advice for Turkish classes?,harvard colleg cours gener shop advic turkish class
702,Harvard College Courses: What is general shopping advice for Tamil classes?,harvard colleg cours gener shop advic tamil class
703,How do I send message from one Android phone to another Android phone through bluetooth?,send messag one android phone anoth android phone bluetooth
704,How do I transfer my contacts from one Android phone to another Android phone?,transfer contact one android phone anoth android phone
705,What are the most important books ever written?,import book ever written
706,What universities does Sigma Designs recruit new grads from? What majors are they looking for?,univers sigma design recruit new grad major look
707,What universities does Sigma-Aldrich recruit new grads from? What majors are they looking for?,univers sigma-aldrich recruit new grad major look
708,Can we do an M.Phil in India after doing Masters in UK (MA in Psychology)?,m.phil india master uk psycholog
709,I'm a masters student interested to work in Humanitarian sector. What are the skills required? I'm a medical doctor doing my masters in UK,'m master student interest work humanitarian sector skill requir 'm medic doctor master uk
710,What universities does Powell Industries recruit new grads from? What majors are they looking for?,univers powel industri recruit new grad major look
711,What universities does Chart Industries recruit new grads from? What majors are they looking for?,univers chart industri recruit new grad major look
712,What are some of the best movie posters you have come across?,best movi poster come across
713,What are the best & iconic movie posters?,best icon movi poster
714,What are some examples of deuteromycota and how are they formed?,exampl deuteromycota form
715,Could all bitcoin mining be done by a single Raspberry Pi?,could bitcoin mine done singl raspberri pi
716,How racist is too racist?,racist racist
717,How racist are you?,racist
718,Are there any differences between however and nevertheless?,differ howev nevertheless
719,What's the difference between between and among?,'s differ among
720,Are Canada Geese really Canadian?,canada gee realli canadian
721,What do Canadians call Canada?,canadian call canada
722,How do I find the zeros of the polynomial function [math]f(x)=\dfrac{1}{2}x^{3}-3x[/math]?,find zero polynomi function math f x =\dfrac x^ -x /math
723,How would you find the zero of the function for [math]y=\frac{4x^2 - 36x}{ x-9}[/math]?,would find zero function math y=\frac x^ x x- /math
724,How do I edit my devices on my Google play account?,edit devic googl play account
725,How do I add a second device to a Google Play account?,add second devic googl play account
726,How can I become a good speaker?,becom good speaker
728,How can I write a letter to Mr. Narendra Modi?,write letter mr. narendra modi
729,How can I write to Narendra Modi?,write narendra modi
730,Who is more electable in a general Presidential election: Donald Trump or Ted Cruz?,elect gener presidenti elect donald trump ted cruz
731,Who is more delusional: Donald Trump or Ted Cruz?,delusion donald trump ted cruz
732,Why do they name bastards Snow?,name bastard snow
733,"If Jon Snow is not Ned's bastard, why does Lady Catelyn hate him so much?",jon snow ned 's bastard ladi catelyn hate much
734,What do you think about the Bermuda Triangle?,think bermuda triangl
735,What are your theories about Bermuda Triangle?,theori bermuda triangl
736,Do Mexican girls like black guys?,mexican girl like black guy
737,Do girls like black guys with no beard?,girl like black guy beard
738,Have you lived in a tiny house?,live tini hous
739,Would you live in a tiny house?,would live tini hous
740,"What is a boy/girl called when he/she is 1-6 years old, 6-11years old, 11-14 years old, and 14-18 years old?",boy/girl call he/sh year old -year old year old year old
741,I am an 18 years old boy and I love a girl who's 14 years old. We both live Tamil Nadu. Is this a time to propose to her?,year old boy love girl 's year old live tamil nadu time propos
742,Can you debeak cockerels at 8 months old?,debeak cockerel month old
743,How much and with what should I feed my 3 months old raven?,much feed month old raven
745,What should I do to avoid depression and anxiety?,avoid depress anxieti
746,How do we avoid whey in Yogurt?,avoid whey yogurt
747,Is bad breath a sign of a strong stomach?,bad breath sign strong stomach
748,"Im in love with my bisexual best friend who is also a guy and has a girlfriend, and I want to tell him. How do I move on?",im love bisexu best friend also guy girlfriend want tell move
749,"I'm a girl and I'm in love my best friend (who is also a girl), what should I do?",'m girl 'm love best friend also girl
750,What is the best university in Germany for an MS?,best univers germani m
751,Which are the best universities in Germany for getting a degree in mechanical engineering?,best univers germani get degre mechan engin
752,How do I maintain my peace of mind?,maintain peac mind
754,Which car has good build quality in india?,car good build qualiti india
755,Is Volkswagen a good reliable car?,volkswagen good reliabl car
756,Why does massaging one's temples soothe a migraine or headache?,massag one 's templ sooth migrain headach
757,What are the causes and most effective ways to treat or cure migraine headaches?,caus effect way treat cure migrain headach
758,Which one is better among KMC Manipal and KMC Mangalore?,one better among kmc manip kmc mangalor
759,What is the brief comparison of KMC in Manipal and Mangalore?,brief comparison kmc manip mangalor
760,Why are my bestfriend still ignoring me?,bestfriend still ignor
761,What should I do when my bestfriend is ignoring me?,bestfriend ignor
762,What are the sensors available in Acer Liquid Z630S Android Smart phone by using CPU-Z App?,sensor avail acer liquid z android smart phone use cpu-z app
763,Which useful Android phone apps are not available in the Google Play store?,use android phone app avail googl play store
764,How do I keep motivation to learn a language?,keep motiv learn languag
765,How do you keep motivated when you learn a new language?,keep motiv learn new languag
766,What are the top assessment companies in India?,top assess compani india
767,Which are the top firms in Skills assessment industry in India and Globally?,top firm skill assess industri india global
768,What does @ mean as an emoticon?,mean emoticon
769,Emoticons: What does “:/” mean?,emoticon “ ” mean
770,Is a pinkish discharge normal in early pregnancy? What causes it?,pinkish discharg normal earli pregnanc caus
771,What did nicholas piramal do with 17500 cr?,nichola piram cr
772,What are the best ways to properly finger yourself?,best way properli finger
773,What would be the best way of keeping yourself amused in a prison?,would best way keep amus prison
774,How do scientists work?,scientist work
775,Where do scientists work?,scientist work
776,How many sponsored candidates are shortlisted for CMC vellore?,mani sponsor candid shortlist cmc vellor
777,"What is the office culture and woking at Patanjali office, haridwar?",offic cultur woke patanjali offic haridwar
778,What is the different between Chinese wedding ceremony and western wedding ceremony?,differ chine wed ceremoni western wed ceremoni
779,What is the difference between Chinese and Western style wedding?,differ chine western style wed
780,What is the condition of tourism in Pakistan?,condit tourism pakistan
781,Preferable PG courses for BE (EEE) student in Tamil Nadu?,prefer pg cours eee student tamil nadu
782,What is the different between offshore and onshore funds?,differ offshor onshor fund
783,What is the difference between offshore and onshore?,differ offshor onshor
785,Why do people hate Shahrukh Khan and why do people feel that he is not an Indian?,peopl hate shahrukh khan peopl feel indian
786,What are the best self-help books you've ever read?,best self-help book 've ever read
787,What are the top self help books I should read?,top self help book read
788,Is Evernote useful?,evernot use
789,What is Evernote used for?,evernot use
790,A title for my continuation to The Gift of the Magi?,titl continu gift magi
791,How do I start my continuation for the Gift of the Magi?,start continu gift magi
792,What is a good song to lyric prank your best friend?,good song lyric prank best friend
793,What are some good lyric prank songs to send your best friends?,good lyric prank song send best friend
794,I argued with my gf that she made friends with the person that hit on her. She said I'm a control freak and she wants her freedom. What should I do?,argu gf made friend person hit said 'm control freak want freedom
795,I'm a girl in middle school. My best friends are all girls. I've found out that I'm bisexual. How do I tell my best friend who's a girl without her freaking out and it changing our whole friendship?,'m girl middl school best friend girl 've found 'm bisexu tell best friend 's girl without freak chang whole friendship
796,How do I pass a drug test for methamphetamine?,pas drug test methamphetamin
797,Can hair dye help pass a hair follicle drug test for daily meth smokers?,hair dye help pas hair follicl drug test daili meth smoker
798,How could start with open source development?,could start open sourc develop
799,How should I start contributing to open source projects?,start contribut open sourc project
801,"If you dream about some kind of harm, will there be injuries in real life?",dream kind harm injuri real life
802,Do cricket players really drink tea on a tea break?,cricket player realli drink tea tea break
803,Do cricketers actually drink tea during tea break?,cricket actual drink tea tea break
804,How can I get entry in MIT?,get entri mit
805,What are the requirements for selection into MIT?,requir select mit
806,Does a fetus breathe when it's inside a womb?,fetu breath 's insid womb
807,How does a fetus exhale in the womb?,fetu exhal womb
808,What are movies with incest scenes?,movi incest scene
809,Are there any good incest movie?,good incest movi
810,"What are the signs that a guy has feelings for you or has a crush on you, but doesn't want to show it, so he hides it?",sign guy feel crush n't want show hide
811,The guy I'm dating never texts me and I feel like he doesn't care about me but when I see him he shows me he likes me and wants me. Why do I feel this way?,guy 'm date never text feel like n't care see show like want feel way
812,"According to the International Federation of Robotics, how many robots existed in 2012?",accord intern feder robot mani robot exist
813,What type of belt can be used to lift 200 Kg continuously?,type belt use lift kg continu
814,"Why is Oberon mad at Titania in ""A Midsummer Night's Dream""?",oberon mad titania `` midsumm night 's dream ''
815,"Why does Oberon punish Titania in ""A Midsummer Night's Dream""?",oberon punish titania `` midsumm night 's dream ''
816,Do you regret your divorce?,regret divorc
817,Have you ever regretted your divorce?,ever regret divorc
818,"How much does your DNA change over time? If I were to clone myself 70 years from now, will the clone have the same hair color?",much dna chang time clone year clone hair color
819,How much can a person's DNA change from birth to death in a life span of approximately 70 years?,much person 's dna chang birth death life span approxim year
820,Is it right to tell a girl the you have feelings for her?,right tell girl feel
821,What are some cool facts about Facebook?,cool fact facebook
822,"Is Donald Trump taking cocaine, as Howard Dean suggests?",donald trump take cocain howard dean suggest
824,"Is it true that in order to be part of an elite or just rich and successful, you have to join a secret organisation otherwise no chance at all?",true order part elit rich success join secret organis otherwis chanc
